1. Mojsijeva 1,1        U početku stvori Bog nebo i zemlju.
1. Dnevnika 11,2        I pređe dok Saul bijaše car ti si odvodio i dovodio Izrailja; i Gospod Bog tvoj rekao ti je: ti ćeš pasti narod moj Izrailja; i ti ćeš biti vođ narodu mojemu Izrailju.
1. Dnevnika 11,3        Tako dođoše sve starješine Izrailjeve k caru u Hevron, i učini s njima David vjeru u Hevronu pred Gospodom, i pomazaše Davida za cara nad Izrailjem kao što bješe rekao Gospod preko Samuila.
1. Dnevnika 11,4        Potom otide David sa svijem Izrailjem na Jerusalim, a to je Jevus, jer ondje bijahu Jevuseji, koji življahu u onoj zemlji.
1. Dnevnika 11,5        I rekoše Jevušani Davidu: nećeš ući ovamo. Ali David uze kulu Sion, to je grad Davidov.
1. Dnevnika 11,6        Jer David reče: ko prvi nadbije Jevuseje, biće knez i vojvoda. I Joav sin Serujin izide prvi, i posta knez.
1. Dnevnika 11,7        Poslije seđaše David u tom gradu, zato ga prozvaše grad Davidov.
1. Dnevnika 11,8        I sazida grad unaokolo, od Milona unaokolo; a Joav opravi ostatak grada.
1. Dnevnika 11,9        I David jednako napredovaše i siljaše se, jer Gospod nad vojskama bješe s njim.
1. Dnevnika 11,10       A ovo su poglavice među junacima Davidovijem, koji junački radiše uza nj za carstvo njegovo sa svijem Izrailjem da bude car nad Izrailjem po riječi Gospodnjoj;
1. Dnevnika 11,11       I ovo je broj junaka Davidovijeh: Jasoveam sin Ahmonijev, prvi između trideset; on mahnu kopljem svojim na tri stotine, i pobi ih ujedanput.
1. Dnevnika 11,12       A za njim Eleazar sin Dodov Ahošanin, on bijaše jedan od tri junaka.
1. Dnevnika 11,13       On bijaše s Davidom u Fas-Damimu, kad se Filisteji skupiše na boj; i ondje bijaše njiva puna ječma, i narod pobježe od Filisteja,
1. Dnevnika 11,14       A oni stadoše usred njive, i odbraniše je pobivši Filisteje; i Gospod dade izbavljenje veliko.
1. Dnevnika 11,15       I ta tri prva između trideset sidoše ka stijeni k Davidu u pećinu Odalamsku, kad vojska Filistejska stajaše u okolu u dolini Rafajskoj.
1. Dnevnika 11,16       A David bijaše onda u gradu, a straža Filistejska bijaše tada u Vitlejemu.
1. Dnevnika 11,17       I David zaželje i reče: ko bi mi donio vode da pijem iz studenca Vitlejemskoga što je kod vrata?
1. Dnevnika 11,18       Tada ta trojica prodriješe kroz oko Filistejski, i zahvatiše vode iz studenca Vitlejemskoga koji je kod vrata, i donesoše i dadoše Davidu; a David ne htje piti, nego je izli Gospodu.
1. Dnevnika 11,19       I reče: ne dao mi Bog moj da to učinim! Eda li ću piti krv tijeh ljudi koji ne mariše za život svoj? Jer je donesoše ne mareći za život svoj. I ne hte je piti. To učiniše ta tri junaka.
1. Dnevnika 11,20       I Avisaj brat Joavov bješe prvi između trojice. I on mahnu kopljem svojim na tri stotine, i pobi ih, i proslavi se među trojicom;
1. Dnevnika 11,21       Među trojicom bješe slavniji od druge dvojice i bješe im poglavica; ali one trojice ne stiže.
1. Dnevnika 11,22       Venaja sin Jodajev, sin čovjeka junaka iz Kavseila, koji učini velika djela, on pogubi dva junaka Moavska, i sišav ubi lava u jami kad bješe snijeg.
1. Dnevnika 11,23       On ubi i nekoga Misirca visoka pet lakata. Imaše Misirac u ruci koplje kao vratilo, a on izide na nj sa štapom, i istrže Misircu koplje iz ruke, i ubi ga njegovijem kopljem.
1. Dnevnika 11,24       To učini Venaja sin Jodajev, i bi slavan među ova tri junaka.
1. Dnevnika 11,25       Bješe najslavniji između tridesetorice, ali one trojice ne stiže. I David ga postavi nad pratiocima svojim.
1. Dnevnika 11,26       Junaci između vojnika bijahu: Asailo brat Joavov, Elhanan sin Dodov iz Vitlejema,
1. Dnevnika 11,27       Samot Arorarin, Helis Felonjanin,
1. Dnevnika 11,28       Ira sin Ikisov iz Tekoje, Avijezer iz Anatota,
1. Dnevnika 11,29       Sivehaj iz Husata, Ilaj iz Ahoha,
1. Dnevnika 11,30       Maraj iz Netofata, Heled sin Vanin iz Netofata,
1. Dnevnika 11,31       Itaj sin Rivajev iz Gavaje sinova Venijaminovih, Venaja iz Faratona,
1. Dnevnika 11,32       Uraj od potoka Gaskih, Avilo iz Arvata,
1. Dnevnika 11,33       Azmavet iz Varuma, Elijava iz Salvona,
1. Dnevnika 11,34       Sinovi Asima Gizonjanina, Jonatan sin Sagijin Araranin,
1. Dnevnika 11,35       Ahijam sin Saharov Araranin, Elifar sin Urov,
1. Dnevnika 11,36       Efer iz Mehirata, Ahija iz Felona,
1. Dnevnika 11,37       Esro Karmilac, Narav sin Esvajev,
1. Dnevnika 11,38       Joilo brat Natanov, Mivar sin Agirijev,
1. Dnevnika 11,39       Selek Amonac, Naraj Viroćanin, koji nošaše oružje Joavu sinu Serujinu,
1. Dnevnika 11,40       Ira Jetranin, Gariv Jetranin,
1. Dnevnika 11,41       Urija Hetejin, Zavad sin Alajev,
1. Dnevnika 11,42       Adina sin Sizin od sinova Ruvimovijeh, poglavar sinova Ruvimovijeh, i trideset s njim,
1. Dnevnika 11,43       Anan sin Mašin, i Josafat iz Mitne,
1. Dnevnika 11,44       Ozija iz Asterota, Sama i Jehilo sinovi Hotana Aroiranina,
1. Dnevnika 11,45       Jediailo sin Simrijev i Joha brat mu iz Tise,
1. Dnevnika 11,46       Elilo Mavljanin, i Jerivaj i Josavija sinovi Elnamovi, i Jetema Moavac,
1. Dnevnika 11,47       Elilo i Ovid i Jasilo iz Mesovaje.
1. Dnevnika 12,1        A ovo su koji dođoše Davidu u Siklag dok se još krijaše od Saula sina Kisova, i bijahu među junacima pomažući u ratu,
1. Dnevnika 12,2        Naoružani lukom, iz desne ruke i iz lijeve gađahu kamenjem i iz luka strijelama, između braće Saulove, od plemena Venijaminova:
1. Dnevnika 12,3        Poglavar Ahijezer i Joas sinovi Semaje iz Gavaje, Jezilo i Felet sinovi Azmavetovi, i Veraha i Juj iz Anatota,
1. Dnevnika 12,4        I Ismaja Gavaonjanin, junak među tridesetoricom i nad tridesetoricom, i Jeremija i Jazilo i Joanan i Jozavad od Gedirota,
1. Dnevnika 12,5        Eluzaj i Jerimot i Valija i Semarija i Sefatija od Arufa,
1. Dnevnika 12,6        Elkana i Jesija i Azareilo i Joezer i Jasoveam Korijani,
1. Dnevnika 12,7        I Joila i Zevadija sinovi Jeroamovi iz Gedora.
1. Dnevnika 12,8        I od plemena Gadova prebjegoše Davidu u grad u pustinju hrabri junaci, vješti boju, naoružani štitom i kopljem, kojima lice bijaše kao lice lavovsko i bijahu brzi kao srne po gorama:
1. Dnevnika 12,9        Eser prvi, Ovadija drugi, Elijav treći,
1. Dnevnika 12,10       Mismana četvrti, Jeremija peti,
1. Dnevnika 12,11       Ataj šesti, Elilo sedmi,
1. Dnevnika 12,12       Joanan osmi, Elzaval deveti,
1. Dnevnika 12,13       Jeremija deseti, Mohvanaj jedanaesti.
1. Dnevnika 12,14       To bijahu između sinova Gadovijeh poglavari u vojsci, najmanji nad stotinom a najveći nad tisućom.
1. Dnevnika 12,15       Oni prijeđoše preko Jordana prvoga mjeseca kad se razli preko svijeh bregova svojih, i otjeraše sve iz dolina na istok i na zapad.
1. Dnevnika 12,16       A dođoše i od sinova Venijaminovijeh i Judinijeh k Davidu u grad.
1. Dnevnika 12,17       I izide im David na susret, i govoreći reče im: ako mira radi idete k meni, da mi pomožete, srce će se moje združiti s vama; ako li ste došli da me izdate neprijateljima mojim, nepravde nema na meni, neka vidi Gospod otaca naših i neka sudi.
1. Dnevnika 12,18       Tada duh dođe na Amasaja poglavara među vojvodama, te reče: tvoji smo, Davide, i s tobom ćemo biti, sine Jesejev; mir, mir tebi i pomagačima tvojim, jer ti pomaže Bog tvoj. Tako ih primi David, i postavi ih među poglavare nad četama.
1. Dnevnika 12,19       I od sinova Manasijinih neki prebjegoše Davidu kad iđaše s Filistejima na Saula u boj, ali im ne pomogoše; jer knezovi Filistejski dogovorivši se vratiše ga govoreći: na pogibao našu prebjegnuće gospodaru svojemu Saulu.
1. Dnevnika 12,20       Kad se vraćaše u Siklag, prebjegoše k njemu iz plemena Manasijina: Adna i Jozavad i Jediailo i Mihailo i Jozavad i Eliuj i Saltaj, tisućnici u plemenu Manasijinu.
1. Dnevnika 12,21       I oni pomagahu Davidu protivu četi, jer hrabri junaci bjehu svi, te postaše vojvode u njegovoj vojsci.
1. Dnevnika 12,22       Jer svaki dan dolažahu k Davidu u pomoć, dokle posta velika vojska kao vojska Božija.
1. Dnevnika 12,23       A ovo je broj ljudi naoružanijeh za vojsku koji dođoše k Davidu u Hevron da prenesu carstvo Saulovo na nj po riječi Gospodnjoj:
1. Dnevnika 12,24       Sinova Judinijeh koji nošahu štit i koplje šest tisuća i osam stotina naoružanijeh za vojsku;
1. Dnevnika 12,25       Sinova Simeunovijeh hrabrijeh vojnika sedam tisuća i sto;
1. Dnevnika 12,26       Sinova Levijevih četiri tisuće i šest stotina;
1. Dnevnika 12,27       I Jodaj poglavar između sinova Aronovijeh i s njim tri tisuće i sedam stotina;
1. Dnevnika 12,28       I Sadok mladić, hrabar junak, i od doma oca njegova dvadeset i dva kneza;
1. Dnevnika 12,29       I sinova Venijaminovih, braće Saulove, tri tisuće; jer ih se mnogi još držahu doma Saulova;
1. Dnevnika 12,30       I sinova Jefremovijeh dvadeset tisuća i osam stotina hrabrijeh junaka, ljudi na glasu u porodicama otaca svojih;
1. Dnevnika 12,31       A od polovine plemena Manasijina osamnaest tisuća, koji biše imenovani poimence da dođu da postave Davida carem;
1. Dnevnika 12,32       I sinova Isaharovijeh, koji dobro razumijevahu vremena da bi znali šta će činiti Izrailj, knezova njihovijeh dvjesta, i sva braća njihova slušahu ih;
1. Dnevnika 12,33       Sinova Zavulonovijeh, koji iđahu na vojsku i naoružani bijahu za boj svakojakim oružjem, pedeset tisuća, koji se postavljahu u vrste pouzdana srca;
1. Dnevnika 12,34       A od plemena Neftalimova tisuća poglavara i s njima trideset i sedam tisuća sa štitovima i kopljima;
1. Dnevnika 12,35       A od plemena Danova dvadeset i osam tisuća i šest stotina naoružanijeh za boj;
1. Dnevnika 12,36       A od plemena Asirova četrdeset tisuća vojnika vještijeh postaviti se za boj;
1. Dnevnika 12,37       A onijeh ispreko Jordana od plemena Ruvimova i Gadova i od polovine plemena Manasijina, sto i dvadeset tisuća sa svakojakim oružjem ubojitijem.
1. Dnevnika 12,38       Svi ovi vojnici u vojničkom redu dođoše cijela srca u Hevron da postave Davida carem nad svijem Izrailjem. A i ostali svi Izrailjci bijahu složni da carem postave Davida.
1. Dnevnika 12,39       I bijahu ondje s Davidom tri dana jedući i pijući, jer im braća bijahu pripravila.
1. Dnevnika 12,40       A i oni koji bijahu blizu njih, dori do Isahara i Zavulona i Neftalima, donošahu hljeba na magarcima i na kamilama i na mazgama i na volovima, jela, brašna, smokava i suhoga grožđa i vina i ulja, volova, ovaca izobila; jer bijaše radost u Izrailju.
1. Dnevnika 13,1        I David učini vijeće s tisućnicima i sa stotinicima i sa svijem vojvodama,
1. Dnevnika 13,2        I reče David svemu zboru Izrailjevu: ako vam je po volji, i ako je od Gospoda Boga našega, da pošaljemo na sve strane k braći svojoj ostaloj po svijem krajevima Izrailjevijem, i k sveštenicima i Levitima po gradovima i podgrađima njihovijem da se skupe k nama,
1. Dnevnika 13,3        Pa da donesemo k sebi kovčeg Boga svojega, jer ga ne tražismo za vremena Saulova.
1. Dnevnika 13,4        A sav zbor reče da se tako učini, jer to bi po volji svemu narodu.
1. Dnevnika 13,5        I tako David sabra sav narod Izrailjev od Sihora Misirskoga dori do Emata, da donesu kovčeg Božiji iz Kirijat-Jarima.
1. Dnevnika 13,6        I otide David sa svijem Izrailjem u Valu, u Kirijat-Jarim Judin, da prenesu odande kovčeg Boga Gospoda, koji sjedi na heruvimima, čije se ime prizivlje.
1. Dnevnika 13,7        I povezoše kovčeg Božiji na novijem kolima iz kuće Avinadavove; a Uza i Ahijo upravljahu kolima.
1. Dnevnika 13,8        A David i sav narod Izrailjev igrahu pred Bogom iz sve snage pjevajući i udarajući u gusle i u psaltire i u bubnje i u kimvale i trubeći u trube.
1. Dnevnika 13,9        A kad dođoše do gumna Hidonova, Uza se maši rukom da prihvati kovčeg, jer volovi potegoše na stranu.
1. Dnevnika 13,10       I Gospod se razgnjevi na Uzu, i udari ga što se maši rukom za kovčeg, te umrije ondje pred Bogom.
1. Dnevnika 13,11       I ožalosti se David što Gospod ubi Uzu: zato se prozva ono mjesto Fares-Uza do danas.
1. Dnevnika 13,12       I uplaši se David od Boga u onaj dan, i reče: kako ću donijeti k sebi kovčeg Božji?
1. Dnevnika 13,13       I ne prenese David kovčega k sebi u grad Davidov, nego ga skloni u kuću Ovid-Edoma Getejina.
1. Dnevnika 13,14       I osta kovčeg Božji kod porodice Ovid-Edomove u kući njegovoj tri mjeseca. I Gospod blagoslovi dom Ovid-Edomov i sve što imaše.
1. Dnevnika 14,1        A Hiram car Tirski posla poslanike k Davidu i drva kedrovijeh i zidara i drvodjelja da mu sagrade kuću.
1. Dnevnika 14,2        I razumje David da ga je Gospod utvrdio za cara nad Izrailjem i da se carstvo njegovo podiže visoko radi naroda njegova Izrailja.
1. Dnevnika 14,3        I David uze jošte žena u Jerusalimu i izrodi još sinova i kćeri.
1. Dnevnika 14,4        I ovo su imena onijeh koji mu se rodiše u Jerusalimu: Samuja i Sovav, Natan i Solomun,
1. Dnevnika 14,5        I Jevar i Elisuja i Elfalet,
1. Dnevnika 14,6        I Noga i Nefeg i Jafija,
1. Dnevnika 14,7        I Elisama i Velijada i Elifalet.
1. Dnevnika 14,8        A Filisteji čuvši da je David pomazan za cara nad svijem Izrailjem, izidoše svi Filisteji da traže Davida; a David čuvši to izide pred njih.
1. Dnevnika 14,9        I Filisteji došavši raširiše se po dolini Rafajskoj.
1. Dnevnika 14,10       Tada David upita Gospoda govoreći: hoću li izaći na Filisteje? I hoćeš li ih dati u moje ruke? A Gospod mu reče: izađi, i daću ih u tvoje ruke.
1. Dnevnika 14,11       Tada otidoše u Val-Ferasim, i pobi ih ondje David, i reče David: prodrije Bog neprijatelje moje mojom rukom, kao što voda prodire. Otuda se prozva mjesto Val-Ferasim.
1. Dnevnika 14,12       I ostaviše ondje bogove svoje; a David zapovjedi, te ih spališe ognjem.
1. Dnevnika 14,13       A Filisteji opet po drugi put raširiše se po onom dolu.
1. Dnevnika 14,14       I David opet upita Boga, a Bog mu reče: ne idi za njima, nego se vrati od njih, pa udari na njih prema dudovima.
1. Dnevnika 14,15       I kad čuješ da zašušti po vrhovima od dudova, tada izidi u boj; jer će poći Bog pred tobom da pobije vojsku Filistejsku.
1. Dnevnika 14,16       I učini David kako mu zapovjedi Bog i pobi vojsku Filistejsku od Gavaona do Gezera.
1. Dnevnika 14,17       I razglasi se ime Davidovo po svijem zemljama; i Gospod zadade strah od njega svijem narodima.
1. Dnevnika 15,1        I načini sebi David kuće u gradu Davidovu, i spremi mjesto za kovčeg Božji, i razape mu šator.
1. Dnevnika 15,2        Tada reče David: ne valja da nosi kovčeg Božji niko osim Levita, jer je njih izabrao Gospod da nose kovčeg Božji i da mu služe dovijeka.
1. Dnevnika 15,3        I skupi David sve sinove Izrailjeve u Jerusalim da prenesu kovčeg Gospodnji na mjesto njegovo, koje mu bješe spremio.
1. Dnevnika 15,4        Skupi David i sinove Aronove i Levite,
1. Dnevnika 15,5        Od sinova Katovijeh: Urila poglavara i braće njegove sto i dvadeset;
1. Dnevnika 15,6        Od sinova Merarijevih: Asaju poglavara i braće njegove dvjesta i dvadeset;
1. Dnevnika 15,7        Od sinova Girsonovijeh: Joila poglavara i braće njegove sto i trideset;
1. Dnevnika 15,8        Od sinova Elisafanovih: Semaju poglavara i braće njegove dvjesta;
1. Dnevnika 15,9        Od sinova Hevronovijeh: Elila poglavara i braće njegove osamdeset;
1. Dnevnika 15,10       Od sinova Ozilovijeh: Aminadava poglavara i braće njegove sto i dvanaest.
1. Dnevnika 15,11       Tada dozva David Sadoka i Avijatara sveštenike, i Levite i Urila i Asaju i Joila i Samaju i Elila i Aminadava,
1. Dnevnika 15,12       I reče im: vi ste poglavari porodica otačkih među Levitima; osveštajte sebe i braću svoju da donesete kovčeg Gospoda Boga Izrailjeva na mjesto koje sam mu spremio.
1. Dnevnika 15,13       Jer što pređe ne učiniste toga, Gospod Bog naš prodrije nas, jer ga ne tražismo kako treba.
1. Dnevnika 15,14       I osveštaše se sveštenici i Leviti da prenesu kovčeg Gospoda Boga Izrailjeva.
1. Dnevnika 15,15       I nosiše sinovi Levitski kovčeg Božiji kao što je zapovjedio Mojsije po riječi Gospodnjoj na ramenima svojim i polugama.
1. Dnevnika 15,16       I reče David poglavarima Levitskim da postave između braće svoje pjevače sa spravama muzickim, sa psaltirima i guslama i kimvalima, da pjevaju u glas veselo.
1. Dnevnika 15,17       I postaviše Leviti Emana sina Joilova, i od braće njegove Asafa sina Varahijina, i od sinova Merarijevih, braće njihove, Etana sina Kisajina;
1. Dnevnika 15,18       I s njima braću njihovu drugoga reda: Zahariju i Vena i Jazila i Semiramota i Jehila i Unija i Elijava i Venaju i Masiju i Matatiju i Elifela i Mikneju i Ovid-Edoma i Jeila, vratare.
1. Dnevnika 15,19       I pjevači Eman i Asaf i Etan udarahu u kimvale mjedene;
1. Dnevnika 15,20       A Zaharija i Ozilo i Semiramot i Jehilo i Unije i Elijav i Masija i Venaja u psaltire visoko,
1. Dnevnika 15,21       A Matatija i Elifel i Mikneja, i Ovid-Edom, i Jeilo i Azazija u gusle nisko.
1. Dnevnika 15,22       A Henanija poglavar među Levitima koji nošahu kovčeg uređivaše kako će se nositi, jer bješe vješt.
1. Dnevnika 15,23       A Varahija i Elkana bjehu vratari kod kovčega.
1. Dnevnika 15,24       A Sevanija i Josafat i Natanailo i Amasaj i Zaharija i Venaja i Elijezer, sveštenici, trubljahu u trube pred kovčegom Božjim; a Ovid-Edom i Jehija bjehu vratari kod kovčega.
1. Dnevnika 15,25       I tako David i starješine Izrailjeve i tisućnici iđahu prateći kovčeg zavjeta Gospodnjega iz kuće Ovid-Edomove s veseljem.
1. Dnevnika 15,26       I kad Bog pomože Levitima koji nošahu kovčeg zavjeta Gospodnjega prinesoše sedam volova i sedam ovnova.
1. Dnevnika 15,27       I David bijaše ogrnut plaštem od tankoga platna, tako i svi Leviti koji nošahu kovčeg i pjevači, Henanija koji upravljaše nosiocima među pjevačima. I David imaše na sebi oplećak lanen.
1. Dnevnika 15,28       I tako sav narod Izrailjev praćaše kovčeg zavjeta Gospodnjega klikujući i trubeći u trube i u rogove i udarajući u kimvale i u psaltire i u gusle.
1. Dnevnika 15,29       A kad kovčeg zavjeta Gospodnjega ulažaše u grad Davidov, Mihala kći Saulova gledajući s prozora vide cara Davida gdje skače i igra, i podrugnu mu se u srcu svom.
1. Dnevnika 16,1        I kad donesoše kovčeg Božji, namjestiše ga usred šatora, koji mu razape David; i prinesoše žrtve paljenice i žrtve zahvalne pred Bogom.
1. Dnevnika 16,2        Potom prinesavši David žrtve paljenice i žrtve zahvalne, blagoslovi narod u ime Gospodnje.
1. Dnevnika 16,3        I razdade svijem Izrailjcima, i ljudima i ženama, svakom po jedan hljeb i komad mesa i vrč vina.
1. Dnevnika 16,4        Potom postavi pred kovčegom Gospodnjim sluge između Levita da pominju i slave i hvale Gospoda Boga Izrailjeva:
1. Dnevnika 16,5        Asafa poglavara, a drugoga za njim Zahariju, i Jeila i Semiramota i Jehila i Matatiju i Elijava i Venaju i Ovid-Edoma; i Jeilo udaraše u psaltire i gusle, a Asaf u kimvale,
1. Dnevnika 16,6        A Venaja i Jazilo sveštenici bijahu jednako s trubama pred kovčegom zavjeta Gospodnjega.
1. Dnevnika 16,7        U taj dan naredi David prvi put da hvale Gospoda Asaf i braća njegova:
1. Dnevnika 16,8        Hvalite Gospoda; glasite ime njegovo; javljajte po narodima djela njegova.
1. Dnevnika 16,9        Pjevajte mu, slavite ga, kazujte sva čudesa njegova.
1. Dnevnika 16,10       Hvalite se svetijem imenom njegovijem; neka se veseli srce onijeh koji traže Gospoda.
1. Dnevnika 16,11       Tražite Gospoda i silu njegovu; tražite lice njegovo bez prestanka.
1. Dnevnika 16,12       Pamtite čudesa njegova, koja je učinio, znake njegove i sudove usta njegovijeh.
1. Dnevnika 16,13       Sjeme Izrailjevo sluge su njegove, sinovi Jakovljevi izbrani njegovi.
1. Dnevnika 16,14       On je Gospod Bog naš, po svoj su zemlji sudovi njegovi.
1. Dnevnika 16,15       Pamtite uvijek zavjet njegov, riječ koju je dao na tisuću koljena.
1. Dnevnika 16,16       Što je zavjetovao Avramu i zašto se kleo Isaku,
1. Dnevnika 16,17       To je postavio Jakovu za zakon i Izrailju za zavjet vječni,
1. Dnevnika 16,18       Govoreći: tebi ću dati zemlju Hanansku u našljedni dio.
1. Dnevnika 16,19       Tada vas bijaše malo na broj, bijaše vas malo, i bijaste došljaci.
1. Dnevnika 16,20       Iđahu od naroda do naroda, i iz jednoga carstva k drugomu plemenu.
1. Dnevnika 16,21       Ne dade nikomu da im naudi, i karaše za njih careve:
1. Dnevnika 16,22       Ne dirajte u pomazanike moje, i prorocima mojim ne činite zla.
1. Dnevnika 16,23       Pjevaj Gospodu, sva zemljo! javljajte od dana na dan spasenje njegovo.
1. Dnevnika 16,24       Kazujte po narodima slavu njegovu, po svijem plemenima čudesa njegova.
1. Dnevnika 16,25       Jer je velik Gospod i valja ga hvaliti veoma; strašniji je od svijeh bogova.
1. Dnevnika 16,26       Jer su svi bogovi u naroda ništa; a Gospod je nebesa stvorio.
1. Dnevnika 16,27       Slava je i veličanstvo pred njim, sila i radost u stanu njegovu.
1. Dnevnika 16,28       Dajte Gospodu, plemena narodna, dajte Gospodu slavu i čast.
1. Dnevnika 16,29       Dajte Gospodu slavu prema imenu njegovu, nosite dare i idite preda nj, poklonite se Gospodu i svetoj krasoti.
1. Dnevnika 16,30       Strepi pred njim, sva zemljo; zato je vasiljena tvrda i neće se pomjestiti.
1. Dnevnika 16,31       Nek se vesele nebesa i zemlja se raduje; i neka govore po narodima: Gospod caruje.
1. Dnevnika 16,32       Neka pljeska more i što je u njemu; neka skače polje i sve što je na njemu.
1. Dnevnika 16,33       Tada neka se raduju drveta šumska pred Gospodom, jer ide da sudi zemlji.
1. Dnevnika 16,34       Hvalite Gospoda, jer je dobar, jer je dovijeka milost njegova.
1. Dnevnika 16,35       I recite: spasi nas, Bože spasenja našega, i skupi nas i izbavi nas od naroda da slavimo sveto ime tvoje, da se hvalimo tvojom slavom.
1. Dnevnika 16,36       Blagosloven Gospod Bog Izrailjev od vijeka i do vijeka. Tada sav narod reče: amin; i hvališe Gospoda.
1. Dnevnika 16,37       I ostavi ondje pred kovčegom zavjeta Gospodnjega Asafa i braću njegovu da služe pred kovčegom bez prestanka kao što treba od dana na dan,
1. Dnevnika 16,38       I Ovid-Edoma i braću njegovu, šezdeset i osam, Ovid-Edoma sina Jedutunova i Osu, da budu vratari;
1. Dnevnika 16,39       A Sadoka sveštenika i braću njegovu sveštenike pred šatorom Gospodnjim na visini u Gavaonu,
1. Dnevnika 16,40       Da prinose žrtve paljenice Gospodu na oltaru za žrtve paljenice bez prestanka jutrom i večerom, i da čine sve što je napisano u zakonu Gospodnjem što je zapovjedio Izrailju,
1. Dnevnika 16,41       I s njima Emana i Jedutuna i druge izabrane, koji biše poimenice imenovani da hvale Gospoda, jer je dovijeka milost njegova,
1. Dnevnika 16,42       S njima Emana i Jedutuna, da trube u trube i udaraju u kimvale i u druge sprave muzičke Bogu; a sinove Jedutunove da budu vratari.
1. Dnevnika 16,43       Potom se razide sav narod, svak svojoj kući, a David se vrati da blagoslovi dom svoj.
1. Dnevnika 17,1        A kad David sjeđaše kod kuće svoje, reče David Natanu proroku: gle, ja stojim u kući kedrova drveta, a kovčeg zavjeta Gospodnjega pod zavjesima.
1. Dnevnika 17,2        A Natan reče Davidu: što ti je god u srcu, čini, jer je Bog s tobom.
1. Dnevnika 17,3        Ali onu noć dođe riječ Božija Natanu govoreći:
1. Dnevnika 17,4        Idi i reci Davidu sluzi mojemu: ovako veli Gospod: ti mi nećeš sazidati kuće da u njoj nastavam.
1. Dnevnika 17,5        Kad nijesam nastavao u kući otkad izvedoh Izrailja do danas, nego sam išao od šatora do šatora i od naslona do naslona,
1. Dnevnika 17,6        Kuda sam god hodio sa svijem Izrailjem, jesam li jednu riječ rekao kome između sudija Izrailjevijeh kojima zapovijedah da pasu narod moj, i kazao: zašto mi ne načinite kuću od kedra?
1. Dnevnika 17,7        Ovako dakle reci sluzi mojemu Davidu: ovako veli Gospod nad vojskama: ja te uzeh od tora, od ovaca, da budeš vođ narodu mojemu Izrailju.
1. Dnevnika 17,8        I bjeh s tobom kuda si god išao, i istrijebih sve neprijatelje tvoje ispred tebe, i stekoh ti ime kao što je ime velikih ljudi na zemlji.
1. Dnevnika 17,9        I odrediću mjesto narodu svojemu Izrailju, i posadiću ga, te će nastavati u svom mjestu, i neće se više pretresati; niti će im više dosađivati nepravednici kao prije,
1. Dnevnika 17,10       I od onoga dana kada sam postavio sudije nad narodom svojim Izrailjem; i pokorih sve neprijatelje tvoje; nego ti javljam da će ti Gospod sazidati kuću.
1. Dnevnika 17,11       I kad se navrše dani tvoji da otideš k ocima svojim, podignuću sjeme tvoje nakon tebe, koje će biti između sinova tvojih, i utvrdiću carstvo njegovo.
1. Dnevnika 17,12       Oni će mi sazidati dom, i utvrdiću prijesto njegov dovijeka.
1. Dnevnika 17,13       Ja ću mu biti otac, i on će mi biti sin; a milosti svoje neću ukloniti od njega kao što sam uklonio od onoga koji bješe prije tebe.
1. Dnevnika 17,14       Nego ću ga utvrditi u domu svom i u carstvu svom dovijeka, i prijesto će njegov stajati dovijeka.
1. Dnevnika 17,15       Po svijem ovijem riječima i po svoj ovoj utvari kaza Natan Davidu.
1. Dnevnika 17,16       Tada dođe car David i stade pred Gospodom, i reče: ko sam ja, Gospode Bože, i šta je dom moj, te si me doveo dovde?
1. Dnevnika 17,17       I to ti se čini malo, Bože, nego si govorio i za dom sluge svojega na dugo vremena, i postarao si se za tu slavu zakonom čovječijim, Gospode Bože.
1. Dnevnika 17,18       Šta će još David da ti govori o časti sluge tvojega, kad ti znaš slugu svojega?
1. Dnevnika 17,19       Gospode, sluge svojega radi i po srcu svojemu činiš svu ovu veliku stvar, obznanjujući sve ove velike stvari.
1. Dnevnika 17,20       Gospode, nema takvoga kakav si ti, i nema Boga osim tebe, po svemu što čusmo svojim ušima.
1. Dnevnika 17,21       Jer koji je narod na zemlji kao tvoj narod Izrailj? radi kojega je Bog išao da ga iskupi da mu bude narod, i da steče sebi ime velikim i strašnim djelima izgoneći narode ispred naroda svojega, koji si iskupio iz Misira
1. Dnevnika 17,22       Jer si učinio narod svoj Izrailja svojim narodom dovijeka; a ti si im, Gospode, Bog.
1. Dnevnika 17,23       I tako, Gospode, riječ koju si obrekao sluzi svojemu i domu njegovu neka bude tvrda dovijeka, i učini kako si rekao.
1. Dnevnika 17,24       Neka bude tvrda, da se veliča ime tvoje dovijeka i da se govori: Gospod nad vojskama, Bog Izrailjev jest Bog nad Izrailjem, i dom Davida sluge tvojega neka stoji tvrdo pred tobom.
1. Dnevnika 17,25       Jer si ti, Bože moj, javio sluzi svojemu da ćeš mu sazidati dom, zato se sluga tvoj usudi da ti se pomoli.
1. Dnevnika 17,26       Tako Gospode, ti si Bog, i obrekao si sluzi svojemu to dobro.
1. Dnevnika 17,27       Budi dakle voljan i blagoslovi dom sluge svojega da bude dovijeka pred tobom; jer kad ti, Gospode, blagosloviš, biće blagosloven dovijeka.
1. Dnevnika 18,1        A poslije toga pobi David Filisteje i pokori ih, i uze Gat i sela njegova iz ruku Filistejskih.
